worker_id,efficiency,skill_0,skill_1,skill_2,skill_3,skill_4,skill_5,skill_6,skill_7,skill_8,skill_9
0,0.8877382539707692,1,0,1,0,1,0,0,0,0,1
1,0.9652046947514669,1,0,0,0,0,1,0,0,0,0
2,1.1906541912641204,0,1,0,0,0,1,0,0,0,1
3,0.8355596086592517,0,0,0,0,0,0,0,0,0,1
4,0.9917159438720726,1,0,1,1,0,0,0,0,0,0
5,1.1950201976950678,0,0,0,0,0,1,1,1,0,0
6,0.8792564356075673,0,0,1,0,1,0,1,0,0,1
7,1.1646860727381099,0,1,1,0,0,1,0,0,1,0
8,1.0233000459463433,0,0,0,0,0,0,0,0,0,1
9,1.1132917873903043,0,0,1,0,1,1,0,0,1,0
10,0.9209906358478197,1,0,0,0,1,0,1,1,0,0
11,0.9589203973944938,0,0,0,0,0,0,0,0,0,1
12,0.9183869258761692,1,0,0,1,0,1,1,0,0,0
13,1.1576353844058,0,1,0,0,1,0,0,1,0,1
14,0.8192700410851411,0,0,1,1,1,1,0,0,0,0
15,0.9780270571054341,1,0,1,0,0,0,0,0,0,1
16,1.0247575556809623,0,1,0,0,0,1,1,1,0,0
17,0.9454858521062648,1,0,1,0,1,0,0,1,0,0
18,1.077797231979715,0,0,0,1,0,0,0,0,0,0
19,1.1693472328174475,0,0,0,0,1,0,0,0,0,1
20,0.8122372270168869,0,0,0,1,0,0,0,0,0,1
21,0.8485621754359954,0,0,0,0,0,0,1,0,0,0
22,0.8927625479543934,0,0,0,0,1,0,0,0,0,0
23,1.0571587799100686,0,1,0,0,0,1,1,0,1,0
24,0.8943734403091653,0,1,0,0,1,0,1,0,1,0
25,1.1867463078085945,0,0,1,0,0,0,0,0,0,1
26,0.859666853229341,0,0,1,0,0,1,1,1,0,0
27,0.8187585757989977,0,1,0,0,0,0,0,0,1,0
28,0.9881804586451416,0,1,0,0,0,0,0,0,0,0
29,1.0730309932691697,1,1,0,1,0,0,0,0,0,1
30,1.1517532636755186,1,1,0,0,1,1,0,0,0,0
31,1.0731681488731406,0,0,0,0,1,0,0,1,0,1
32,1.0081146493734026,0,1,0,1,0,1,0,1,0,0
33,0.9868022234069324,0,1,1,0,0,0,0,1,0,0
34,0.9029602400438127,1,0,0,1,0,0,1,1,0,0
35,1.0032113122799333,0,1,1,0,0,0,1,0,0,1
36,1.0297879170455992,0,0,0,1,0,1,1,0,0,1
37,0.9960567542725756,0,0,0,0,1,0,0,0,0,1
38,0.8828720000859022,1,0,1,0,1,0,0,0,0,0
39,0.9803534241896568,0,0,0,0,0,0,1,1,1,0
40,1.175971544283581,1,0,0,0,0,0,1,0,0,0
41,0.924701489777007,0,0,0,0,0,0,0,0,1,0
42,0.8092010273584775,0,0,1,1,0,0,0,0,0,0
43,0.899638336623663,0,1,0,0,0,0,1,0,1,1
44,0.8843933763718262,1,0,1,0,0,1,0,1,0,0
45,0.8810506889146449,0,0,0,0,1,1,0,1,0,0
46,1.068398935409329,0,0,0,1,1,0,0,0,0,0
47,1.0968981775898863,1,0,0,0,0,0,1,0,1,0
48,1.1418209397653827,0,1,0,0,0,1,1,1,0,0
49,0.8337395144168794,0,1,0,0,1,0,0,1,0,1
50,0.8679838161948761,1,0,0,0,0,0,1,1,0,1
51,1.1903649448029028,0,0,0,0,0,1,1,1,1,0
52,0.8009588691348986,0,0,1,0,0,0,0,0,0,0
53,0.983067418335391,1,0,1,0,0,0,0,0,0,1
54,0.8201703615601524,0,1,0,0,0,0,0,0,1,1
55,1.0607282925834483,1,0,0,0,0,1,0,1,1,0
56,1.1985197326435122,0,0,0,1,0,0,0,0,0,0
